#EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,MagErr,Area,Type,Level
28382,2005-03-22 17:08:20.13,40.824829,14.15167,1.39,D,0.36,0.3,flegrei,earthquake,Bollettino
28381,2005-03-24 08:53:33.96,,,,,,,flegrei,earthquake,Bollettino
28380,2005-03-24 16:04:09.22,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28379,2005-03-27 00:56:02.91,40.826172,14.14733,1.0,D,-0.49,0.3,flegrei,earthquake,Bollettino
28374,2005-05-28 21:26:45.25,40.831329,14.15167,1.14,D,0.8,0.3,flegrei,earthquake,Bollettino
28373,2005-06-08 01:08:12.34,40.84267,14.19383,2.0,D,0.4,0.3,flegrei,earthquake,Bollettino
28358,2005-08-25 09:37:59.28,,,,D,1.1,0.3,flegrei,earthquake,Bollettino
28354,2005-09-24 08:57:27.34,40.842999,14.12933,2.0,D,0.6,0.3,flegrei,earthquake,Bollettino
28353,2005-10-05 10:07:19.25,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28352,2005-10-05 10:14:08.79,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
28351,2005-10-05 10:14:16.85,,,,D,-0.1,0.3,flegrei,earthquake,Bollettino
28350,2005-10-05 10:39:41.43,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28349,2005-10-05 11:13:15.14,,,,,,,flegrei,earthquake,Bollettino
28348,2005-10-05 11:13:44.96,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
28347,2005-10-05 11:28:37.91,,,,D,-0.1,0.3,flegrei,earthquake,Bollettino
28346,2005-10-05 11:36:17.11,,,,,,,flegrei,earthquake,Bollettino
28345,2005-10-05 11:36:18.84,,,,,,,flegrei,earthquake,Bollettino
28344,2005-10-05 11:53:13.18,,,,D,0.5,0.3,flegrei,earthquake,Bollettino
28343,2005-10-05 12:07:45.97,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
28342,2005-10-05 12:13:17.49,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28341,2005-10-05 12:14:10.59,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28340,2005-10-05 12:16:24.03,,,,,,,flegrei,earthquake,Bollettino
28339,2005-10-05 12:16:51.18,,,,,,,flegrei,earthquake,Bollettino
28338,2005-10-05 12:38:34.8,40.8265,14.1475,2.0,D,0.7,0.3,flegrei,earthquake,Bollettino
28337,2005-10-05 12:39:58.6,,,,,,,flegrei,earthquake,Bollettino
28336,2005-10-05 12:40:07.64,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
28335,2005-10-05 13:20:11.33,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
28334,2005-10-05 13:20:58.24,,,,,,,flegrei,earthquake,Bollettino
28333,2005-10-05 13:21:00.33,,,,,,,flegrei,earthquake,Bollettino
28332,2005-10-05 13:21:07.08,,,,D,0.2,0.3,flegrei,earthquake,Bollettino
28331,2005-10-05 13:33:25.23,40.834,14.15167,1.26,D,0.6,0.3,flegrei,earthquake,Bollettino
28330,2005-10-05 13:33:36.06,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
28329,2005-10-05 13:33:51,,,,,,,flegrei,earthquake,Bollettino
28328,2005-10-05 13:43:27.75,,,,,,,flegrei,earthquake,Bollettino
28327,2005-10-05 13:55:54.3,,,,,,,flegrei,earthquake,Bollettino
28326,2005-10-05 14:03:57.87,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28325,2005-10-05 14:09:49.47,,,,D,0.7,0.3,flegrei,earthquake,Bollettino
28324,2005-10-05 14:34:41.89,,,,D,-0.1,0.3,flegrei,earthquake,Bollettino
28323,2005-10-05 14:39:19.52,,,,D,0.1,0.3,flegrei,earthquake,Bollettino
28322,2005-10-05 14:39:31.47,,,,,,,flegrei,earthquake,Bollettino
28321,2005-10-05 14:51:08.6,,,,D,0.6,0.3,flegrei,earthquake,Bollettino
28320,2005-10-05 15:22:04.73,,,,D,0.2,0.3,flegrei,earthquake,Bollettino
28319,2005-10-05 15:22:23.24,,,,D,0.6,0.3,flegrei,earthquake,Bollettino
28318,2005-10-05 15:26:40.78,40.832329,14.15167,1.61,D,-0.1,0.3,flegrei,earthquake,Bollettino
28317,2005-10-05 15:39:26.67,,,,D,0.2,0.3,flegrei,earthquake,Bollettino
28316,2005-10-05 15:41:22.36,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28315,2005-10-05 15:41:39.97,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28314,2005-10-05 15:44:53.54,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28313,2005-10-05 15:49:28.03,,,,D,0.5,0.3,flegrei,earthquake,Bollettino
28312,2005-10-05 16:00:48.63,,,,D,0.7,0.3,flegrei,earthquake,Bollettino
28311,2005-10-05 16:18:01.93,40.828671,14.15167,2.28,D,1.1,0.3,flegrei,earthquake,Bollettino
28310,2005-10-05 16:20:14.3,,,,,,,flegrei,earthquake,Bollettino
28309,2005-10-05 16:21:27.07,,,,,,,flegrei,earthquake,Bollettino
28308,2005-10-05 16:21:30.48,,,,D,0.6,0.3,flegrei,earthquake,Bollettino
28307,2005-10-05 16:29:59.03,,,,D,0.8,0.3,flegrei,earthquake,Bollettino
28306,2005-10-05 16:30:00.53,,,,,,,flegrei,earthquake,Bollettino
28305,2005-10-05 16:32:50.27,,,,D,-0.1,0.3,flegrei,earthquake,Bollettino
28304,2005-10-05 16:42:55.59,40.83567,14.14433,1.53,,,,flegrei,earthquake,Bollettino
28303,2005-10-05 16:42:59.5,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28302,2005-10-05 16:43:18.28,,,,,,,flegrei,earthquake,Bollettino
28301,2005-10-05 16:45:07.73,40.83733,14.14483,1.71,D,0.6,0.3,flegrei,earthquake,Bollettino
28300,2005-10-05 16:45:29.92,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
28299,2005-10-05 16:45:42.82,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
28298,2005-10-05 16:53:09.53,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
28297,2005-10-05 16:53:18.09,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
28296,2005-10-05 16:54:02.17,,,,D,0.1,0.3,flegrei,earthquake,Bollettino
28295,2005-10-05 16:56:29.04,,,,D,-0.1,0.3,flegrei,earthquake,Bollettino
28294,2005-10-05 16:56:51.28,,,,,,,flegrei,earthquake,Bollettino
28293,2005-10-05 16:57:06.3,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28292,2005-10-05 17:00:28.86,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
28291,2005-10-05 17:00:48.31,,,,,,,flegrei,earthquake,Bollettino
28290,2005-10-05 17:01:00,,,,D,-0.1,0.3,flegrei,earthquake,Bollettino
28289,2005-10-05 17:01:49.51,,,,,,,flegrei,earthquake,Bollettino
28288,2005-10-05 17:06:32.65,,,,,,,flegrei,earthquake,Bollettino
28287,2005-10-05 17:09:44.67,,,,D,0.2,0.3,flegrei,earthquake,Bollettino
28286,2005-10-05 17:10:39.49,,,,,,,flegrei,earthquake,Bollettino
28285,2005-10-05 17:10:44.48,,,,,,,flegrei,earthquake,Bollettino
28284,2005-10-05 17:10:50.4,,,,,,,flegrei,earthquake,Bollettino
28283,2005-10-05 17:11:07.24,,,,,,,flegrei,earthquake,Bollettino
28282,2005-10-05 17:11:09.04,,,,,,,flegrei,earthquake,Bollettino
28281,2005-10-05 17:11:16.11,,,,,,,flegrei,earthquake,Bollettino
28280,2005-10-05 17:11:21.09,,,,D,0.2,0.3,flegrei,earthquake,Bollettino
28279,2005-10-05 17:11:33.8,,,,,,,flegrei,earthquake,Bollettino
28278,2005-10-05 17:16:10.71,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28277,2005-10-05 17:16:29.42,,,,,,,flegrei,earthquake,Bollettino
28276,2005-10-05 17:26:23.94,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
28275,2005-10-05 17:27:31.03,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28274,2005-10-05 17:31:22.9,,,,D,0.6,0.3,flegrei,earthquake,Bollettino
28273,2005-10-05 17:32:14.81,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
28272,2005-10-05 17:46:53.44,,,,,,,flegrei,earthquake,Bollettino
28271,2005-10-05 17:46:56.89,,,,D,-0.1,0.3,flegrei,earthquake,Bollettino
28270,2005-10-05 17:50:01.91,,,,,,,flegrei,earthquake,Bollettino
28269,2005-10-07 20:39:36.38,,,,D,0.1,0.3,flegrei,earthquake,Bollettino
28268,2005-10-08 13:41:05.56,,,,D,0.2,0.3,flegrei,earthquake,Bollettino
28266,2005-11-05 06:16:18.44,40.831501,14.157,3.24,D,1.2,0.3,flegrei,earthquake,Bollettino
