#EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,MagErr,Area,Type,Level
27072,2011-02-05 16:26:31.49,40.8265,14.17917,3.57,D,-0.3,0.3,flegrei,earthquake,Bollettino
27071,2011-02-07 06:26:46.39,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27070,2011-02-07 06:26:58.11,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27068,2011-02-07 06:27:09.09,,,,,,,flegrei,earthquake,Bollettino
27069,2011-02-07 06:27:09.09,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27066,2011-02-07 06:27:20.1,,,,D,-0.1,0.3,flegrei,earthquake,Bollettino
27067,2011-02-07 06:27:20.1,,,,,,,flegrei,earthquake,Bollettino
27065,2011-02-07 06:28:05.09,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27064,2011-02-07 06:28:05.09,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27063,2011-02-07 06:28:05.09,,,,,,,flegrei,earthquake,Bollettino
27062,2011-02-07 06:28:11.11,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27061,2011-02-07 06:28:11.11,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27060,2011-02-07 06:29:04.24,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27059,2011-02-07 06:29:14.23,,,,,,,flegrei,earthquake,Bollettino
27058,2011-02-07 06:30:22.58,,,,,,,flegrei,earthquake,Bollettino
27057,2011-02-07 06:30:22.58,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27055,2011-02-07 06:30:31.32,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27056,2011-02-07 06:30:31.32,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27052,2011-02-07 06:34:27.1,,,,,,,flegrei,earthquake,Bollettino
27053,2011-02-07 06:34:27.1,,,,D,-0.1,0.3,flegrei,earthquake,Bollettino
27054,2011-02-07 06:34:27.1,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27050,2011-02-07 06:34:29.4,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27051,2011-02-07 06:34:29.4,,,,,,,flegrei,earthquake,Bollettino
27049,2011-02-07 06:35:00.26,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27048,2011-02-07 06:35:53.8,,,,,,,flegrei,earthquake,Bollettino
27047,2011-02-07 06:36:00.97,,,,D,0.1,0.3,flegrei,earthquake,Bollettino
27046,2011-02-07 06:36:09.48,,,,,,,flegrei,earthquake,Bollettino
27045,2011-02-07 06:45:47.7,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27044,2011-02-07 06:56:50.99,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
27043,2011-02-07 06:57:02.67,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27042,2011-02-07 06:58:08.13,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27041,2011-02-07 07:04:03.01,40.841671,14.13883,2.0,D,1.1,0.3,flegrei,earthquake,Bollettino
27040,2011-02-07 07:07:34.75,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27039,2011-02-07 07:07:44.79,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
