#EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,MagErr,Area,Type,Level
26989,2012-01-14 07:42:40.95,40.831329,14.1495,2.0,D,0.2,0.3,flegrei,earthquake,Bollettino
26988,2012-01-22 08:01:05.69,40.821999,14.1355,2.0,D,-0.3,0.3,flegrei,earthquake,Bollettino
26987,2012-01-25 00:23:14.72,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
26986,2012-01-31 18:47:01.98,40.839001,14.16283,0.94,D,-0.3,0.3,flegrei,earthquake,Bollettino
26985,2012-02-10 00:29:09.9,40.84267,14.14567,1.41,D,0.1,0.3,flegrei,earthquake,Bollettino
26984,2012-02-11 03:52:09.49,40.824001,14.15117,0.82,D,-0.1,0.3,flegrei,earthquake,Bollettino
26983,2012-02-13 11:29:32.97,,,,,,,flegrei,earthquake,Bollettino
26982,2012-02-25 17:47:42.91,40.831501,14.14283,0.97,D,-0.5,0.3,flegrei,earthquake,Bollettino
26980,2012-03-12 16:01:47.11,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
26979,2012-03-29 08:27:58.76,40.831329,14.138,0.49,D,-0.3,0.3,flegrei,earthquake,Bollettino
26978,2012-04-11 23:07:17.84,40.839668,14.16533,2.0,D,-0.3,0.3,flegrei,earthquake,Bollettino
26977,2012-04-11 23:08:12.03,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
26976,2012-04-11 23:08:22.06,40.84267,14.16083,4.17,D,-0.5,0.3,flegrei,earthquake,Bollettino
26975,2012-04-11 23:15:41.39,40.84267,14.16083,4.65,D,-0.8,0.3,flegrei,earthquake,Bollettino
26974,2012-04-12 21:45:52.35,40.845661,14.16233,2.0,D,-0.1,0.3,flegrei,earthquake,Bollettino
26973,2012-04-19 16:40:30.78,40.821999,14.13467,2.0,D,0.1,0.3,flegrei,earthquake,Bollettino
26972,2012-04-19 16:44:38.2,40.821999,14.1365,2.0,D,0.4,0.3,flegrei,earthquake,Bollettino
26971,2012-04-19 16:45:06.08,40.821999,14.13467,2.0,D,-0.8,0.3,flegrei,earthquake,Bollettino
26970,2012-04-19 16:53:08.15,40.821999,14.13367,2.0,D,-0.3,0.3,flegrei,earthquake,Bollettino
26969,2012-04-19 19:34:01.05,40.825001,14.13267,2.0,D,0.8,0.3,flegrei,earthquake,Bollettino
26968,2012-04-19 19:34:11.01,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
26967,2012-04-19 19:34:47.36,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
1310,2012-04-19 19:56:42.32,40.82333,14.1345,2.0,D,1.4,0.3,flegrei,earthquake,Bollettino
26966,2012-04-19 19:57:22.69,40.819672,14.1325,0.63,D,0.2,0.3,flegrei,earthquake,Bollettino
26965,2012-04-19 19:58:16.38,40.818829,14.1365,2.0,D,-0.3,0.3,flegrei,earthquake,Bollettino
26964,2012-04-19 20:06:03.18,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
26963,2012-04-19 20:12:36.27,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
26962,2012-04-19 22:15:33.71,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
26961,2012-04-20 04:29:05.22,40.815331,14.13067,1.62,D,0.8,0.3,flegrei,earthquake,Bollettino
26960,2012-04-20 04:29:29.95,40.823502,14.13,2.0,D,1.1,0.3,flegrei,earthquake,Bollettino
26959,2012-04-20 04:30:42.02,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
26958,2012-04-20 04:30:46.15,40.821999,14.12817,2.0,D,-0.5,0.3,flegrei,earthquake,Bollettino
26957,2012-04-20 04:45:53.26,40.82283,14.129,2.67,D,1.1,0.3,flegrei,earthquake,Bollettino
26956,2012-04-20 05:04:13.85,40.821999,14.13367,2.0,D,-0.3,0.3,flegrei,earthquake,Bollettino
26955,2012-04-20 05:32:31.58,40.821999,14.13483,2.78,D,-0.3,0.3,flegrei,earthquake,Bollettino
26954,2012-04-22 21:37:40.55,40.821999,14.13433,2.0,D,0.4,0.3,flegrei,earthquake,Bollettino
26951,2012-05-27 22:26:38.91,40.820671,14.13833,1.53,D,-0.5,0.3,flegrei,earthquake,Bollettino
26950,2012-05-27 23:05:39.19,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
