#EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,MagErr,Area,Type,Level
27915,2008-01-03 01:03:38.77,40.8255,14.15233,1.65,D,-0.3,0.3,flegrei,earthquake,Bollettino
27914,2008-01-05 19:06:13.71,40.824001,14.15167,2.0,D,0.1,0.3,flegrei,earthquake,Bollettino
27913,2008-01-05 19:07:38.35,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
27912,2008-01-05 19:08:09.2,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27911,2008-01-05 19:08:09.2,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27909,2008-01-05 19:08:28.91,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27910,2008-01-05 19:08:28.91,,,,,,,flegrei,earthquake,Bollettino
27908,2008-01-05 19:09:26.29,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27906,2008-01-05 19:09:26.29,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27907,2008-01-05 19:09:26.29,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
27904,2008-01-05 19:09:37.36,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
27905,2008-01-05 19:09:37.36,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27903,2008-01-05 19:09:58.68,40.82283,14.15167,1.68,D,-0.3,0.3,flegrei,earthquake,Bollettino
27902,2008-01-05 19:10:07.61,40.831329,14.14917,1.58,D,-0.3,0.3,flegrei,earthquake,Bollettino
27901,2008-01-05 19:10:08.4,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
27900,2008-01-05 19:10:20.58,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27899,2008-01-05 19:11:04.04,,,,,,,flegrei,earthquake,Bollettino
27898,2008-01-05 19:11:04.04,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27897,2008-01-05 19:11:04.04,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27895,2008-01-05 19:11:05.91,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
27896,2008-01-05 19:11:05.91,,,,,,,flegrei,earthquake,Bollettino
27894,2008-01-05 19:11:05.91,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
27890,2008-01-05 19:13:00.46,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
27891,2008-01-05 19:13:00.46,,,,,,,flegrei,earthquake,Bollettino
27892,2008-01-05 19:13:00.46,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27889,2008-01-05 19:13:15.1,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27888,2008-01-05 19:13:15.1,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27887,2008-01-05 19:13:15.1,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27885,2008-01-05 19:14:03.46,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27886,2008-01-05 19:14:03.46,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27883,2008-01-05 19:14:16.67,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27884,2008-01-05 19:14:16.67,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27882,2008-01-05 19:15:52.4,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27881,2008-01-05 19:16:22.47,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27878,2008-01-05 19:17:27.95,40.831329,14.14333,2.64,,,,flegrei,earthquake,Bollettino
27876,2008-01-05 19:17:56.34,40.825668,14.14983,1.89,D,0.7,0.3,flegrei,earthquake,Bollettino
27875,2008-01-05 19:19:44.41,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27874,2008-01-05 19:19:52.83,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27873,2008-01-05 19:20:40.2,40.831329,14.14317,2.0,D,-0.3,0.3,flegrei,earthquake,Bollettino
27872,2008-01-05 19:22:21.53,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
27871,2008-01-05 19:22:21.53,,,,,,,flegrei,earthquake,Bollettino
