#EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,MagErr,Area,Type,Level
27300,2010-01-29 17:34:48.27,40.84267,14.16083,4.3,D,1.1,0.3,flegrei,earthquake,Bollettino
27299,2010-01-29 17:38:15.08,,,,D,0.2,0.3,flegrei,earthquake,Bollettino
27298,2010-01-29 17:39:05.65,,,,D,0.9,0.3,flegrei,earthquake,Bollettino
27295,2010-03-30 16:10:26.68,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27294,2010-03-30 16:10:29.9,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27293,2010-03-30 16:10:32.73,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27292,2010-03-30 16:10:37.17,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
27291,2010-03-30 16:10:51.17,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27290,2010-03-30 16:11:05.07,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27289,2010-03-30 16:11:25.14,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
27288,2010-03-30 16:11:47.18,,,,,,,flegrei,earthquake,Bollettino
27287,2010-03-30 16:11:57.17,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27286,2010-03-30 16:12:21.51,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27285,2010-03-30 16:12:54.74,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27284,2010-03-30 16:12:59.19,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27283,2010-03-30 16:13:04.44,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27282,2010-03-30 16:13:16.8,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27281,2010-03-30 16:13:23.72,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27280,2010-03-30 16:13:53.84,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27279,2010-03-30 16:14:07.22,,,,,,,flegrei,earthquake,Bollettino
27278,2010-03-30 16:14:21.66,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27277,2010-03-30 16:14:42.55,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
27276,2010-03-30 16:14:46.2,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27275,2010-03-30 16:14:56.64,,,,,,,flegrei,earthquake,Bollettino
27274,2010-03-30 16:14:59.9,,,,,,,flegrei,earthquake,Bollettino
27273,2010-03-30 16:15:06.42,,,,,,,flegrei,earthquake,Bollettino
27272,2010-03-30 16:15:14.39,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27271,2010-03-30 16:15:23.23,40.83017,14.1655,0.08,D,-0.5,0.3,flegrei,earthquake,Bollettino
27270,2010-03-30 16:15:29.19,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27269,2010-03-30 16:15:47.96,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27268,2010-03-30 16:16:00.5,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27267,2010-03-30 16:16:12.79,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27266,2010-03-30 16:16:25.72,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27265,2010-03-30 16:16:51.74,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27264,2010-03-30 16:17:15.5,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27263,2010-03-30 16:17:18.51,,,,,,,flegrei,earthquake,Bollettino
27262,2010-03-30 16:17:34.86,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27261,2010-03-30 16:17:54.27,,,,,,,flegrei,earthquake,Bollettino
27260,2010-03-30 16:18:00.55,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27259,2010-03-30 16:18:17.26,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
27258,2010-03-30 16:18:32.11,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27257,2010-03-30 16:18:41.18,,,,,,,flegrei,earthquake,Bollettino
27256,2010-03-30 16:18:55.44,,,,,,,flegrei,earthquake,Bollettino
27255,2010-03-30 16:19:02.27,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27254,2010-03-30 16:19:07.39,,,,,,,flegrei,earthquake,Bollettino
27253,2010-03-30 16:19:12.33,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27252,2010-03-30 16:19:19.79,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27251,2010-03-30 16:19:30.69,,,,,,,flegrei,earthquake,Bollettino
27250,2010-03-30 16:19:31.62,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27249,2010-03-30 16:19:34.46,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27248,2010-03-30 16:19:42.55,,,,,,,flegrei,earthquake,Bollettino
27247,2010-03-30 16:19:53.29,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27246,2010-03-30 16:20:01.94,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27245,2010-03-30 16:20:08.08,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
27244,2010-03-30 16:20:19.15,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
27243,2010-03-30 16:20:28.23,,,,,,,flegrei,earthquake,Bollettino
27242,2010-03-30 16:20:33.88,,,,,,,flegrei,earthquake,Bollettino
27241,2010-03-30 16:20:37,,,,,,,flegrei,earthquake,Bollettino
27240,2010-03-30 16:20:43.57,40.824501,14.167,0.81,D,-0.1,0.3,flegrei,earthquake,Bollettino
27239,2010-03-30 16:21:03.63,,,,,,,flegrei,earthquake,Bollettino
27238,2010-03-30 16:21:06.12,,,,,,,flegrei,earthquake,Bollettino
27237,2010-03-30 16:21:36.74,,,,,,,flegrei,earthquake,Bollettino
27236,2010-03-30 16:21:48.99,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
27235,2010-03-30 16:22:08.81,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
27234,2010-03-30 16:22:31.19,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
27233,2010-03-30 16:22:40.09,40.831329,14.15167,1.46,D,-0.3,0.3,flegrei,earthquake,Bollettino
27232,2010-03-30 16:22:48.29,,,,,,,flegrei,earthquake,Bollettino
27231,2010-03-30 16:22:56.1,,,,,,,flegrei,earthquake,Bollettino
27230,2010-03-30 16:22:58.71,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
