#EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,MagErr,Area,Type,Level
28253,2006-01-29 19:52:02.97,40.841839,14.129,2.0,D,0.6,0.3,flegrei,earthquake,Bollettino
28252,2006-02-06 08:33:17.09,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28251,2006-02-06 09:33:14.6,40.82283,14.17717,2.0,D,0.4,0.3,flegrei,earthquake,Bollettino
28247,2006-03-01 14:57:00.94,40.849831,14.11583,1.17,D,0.7,0.3,flegrei,earthquake,Bollettino
28244,2006-04-08 07:09:32.87,40.825329,14.1455,1.57,D,0.9,0.3,flegrei,earthquake,Bollettino
28243,2006-04-08 11:00:09.78,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28242,2006-04-08 11:00:17.55,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
28239,2006-05-23 02:46:58.55,40.82917,14.14283,1.15,D,0.2,0.3,flegrei,earthquake,Bollettino
28222,2006-08-29 00:47:11.2,40.819172,14.14017,2.0,D,0.6,0.3,flegrei,earthquake,Bollettino
28221,2006-09-05 20:20:53.66,40.82267,14.15167,1.83,D,0.4,0.3,flegrei,earthquake,Bollettino
28220,2006-09-13 01:12:04.74,40.823002,14.14017,0.33,D,0.5,0.3,flegrei,earthquake,Bollettino
28219,2006-09-13 01:12:25,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28218,2006-09-13 01:12:31.3,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
28213,2006-10-19 22:11:27.94,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
28212,2006-10-19 22:59:44.59,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28211,2006-10-19 23:10:31.06,40.821331,14.147,1.1,D,0.2,0.3,flegrei,earthquake,Bollettino
28210,2006-10-19 23:15:59.82,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
28209,2006-10-20 01:36:02.45,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28206,2006-10-20 09:51:05.03,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
28205,2006-10-20 09:51:11.83,40.833832,14.14417,0.21,D,0.4,0.3,flegrei,earthquake,Bollettino
28204,2006-10-20 16:50:50.81,40.820171,14.14417,1.33,D,-0.1,0.3,flegrei,earthquake,Bollettino
28203,2006-10-20 21:56:47.81,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
28202,2006-10-20 22:27:40.81,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
28201,2006-10-20 22:29:13.22,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
28200,2006-10-20 23:22:07.77,,,,D,-0.1,0.3,flegrei,earthquake,Bollettino
28199,2006-10-20 23:55:16.48,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28198,2006-10-21 01:11:58.11,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28197,2006-10-21 10:28:18.16,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
28196,2006-10-21 11:54:58.77,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
28195,2006-10-21 14:12:00.98,40.82233,14.15167,1.61,D,-0.3,0.3,flegrei,earthquake,Bollettino
28194,2006-10-21 18:01:45.21,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
28193,2006-10-21 23:44:07.8,,,,D,-0.1,0.3,flegrei,earthquake,Bollettino
28192,2006-10-22 02:06:22.96,40.819672,14.14383,1.55,D,-0.5,0.3,flegrei,earthquake,Bollettino
28191,2006-10-22 02:06:35.88,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28190,2006-10-22 02:20:22.86,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
28189,2006-10-22 03:06:39.46,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
28188,2006-10-22 05:55:20.11,40.821999,14.134,2.0,D,-0.5,0.3,flegrei,earthquake,Bollettino
28187,2006-10-22 06:05:05,,,,D,0.5,0.3,flegrei,earthquake,Bollettino
28186,2006-10-22 06:20:21.19,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
28185,2006-10-22 22:17:51.93,,,,,,,flegrei,earthquake,Bollettino
28184,2006-10-22 22:17:56.23,,,,,,,flegrei,earthquake,Bollettino
28183,2006-10-22 22:17:57.61,,,,,,,flegrei,earthquake,Bollettino
28182,2006-10-22 22:17:59.59,,,,,,,flegrei,earthquake,Bollettino
28181,2006-10-22 22:18:09.09,,,,,,,flegrei,earthquake,Bollettino
28180,2006-10-22 22:18:11.87,,,,,,,flegrei,earthquake,Bollettino
28179,2006-10-22 22:18:13.55,,,,D,-0.1,0.3,flegrei,earthquake,Bollettino
28177,2006-10-22 23:21:16.31,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
28176,2006-10-22 23:21:22.48,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28175,2006-10-23 08:04:27.53,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
28174,2006-10-23 08:06:07.31,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
28173,2006-10-23 08:06:30.47,,,,,,,flegrei,earthquake,Bollettino
28172,2006-10-23 08:06:33.14,40.828499,14.16083,1.48,D,0.1,0.3,flegrei,earthquake,Bollettino
28171,2006-10-23 08:06:49.6,40.821999,14.13983,1.12,D,0.1,0.3,flegrei,earthquake,Bollettino
28170,2006-10-23 08:06:59.75,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
28169,2006-10-23 08:07:33.58,40.823669,14.15333,1.73,D,0.8,0.3,flegrei,earthquake,Bollettino
28168,2006-10-23 08:08:17.06,40.823002,14.1565,1.71,D,0.6,0.3,flegrei,earthquake,Bollettino
