#EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,MagErr,Area,Type,Level
21870,2013-01-02 16:17:55.56,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
21869,2013-01-02 16:18:40.09,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
21868,2013-01-02 16:18:58.17,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
21867,2013-01-02 18:28:36.59,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
21866,2013-01-02 18:28:48.87,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
21865,2013-01-02 18:29:17.77,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
21864,2013-01-05 20:44:12.07,40.831329,14.1435,0.2,D,0.1,0.3,flegrei,earthquake,Bollettino
21863,2013-01-15 19:04:44.62,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
21862,2013-01-18 23:50:21.09,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
21861,2013-01-20 04:07:26.14,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
21860,2013-01-20 04:07:37.9,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
21858,2013-01-23 23:44:27.68,40.821999,14.12733,0.46,D,-0.1,0.3,flegrei,earthquake,Bollettino
21857,2013-01-26 09:33:07.66,40.839668,14.1375,1.55,D,-0.1,0.3,flegrei,earthquake,Bollettino
21856,2013-01-26 10:41:24.28,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
21855,2013-01-26 10:42:34.82,40.842999,14.13667,1.0,D,0.2,0.3,flegrei,earthquake,Bollettino
21854,2013-01-26 12:11:23.27,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
21853,2013-01-26 12:12:36.64,40.840672,14.134,1.11,D,-0.5,0.3,flegrei,earthquake,Bollettino
21852,2013-01-30 23:05:32.01,40.831329,14.147,1.73,,,,flegrei,earthquake,Bollettino
21851,2013-01-30 23:05:34.32,40.831501,14.15283,2.0,D,0.2,0.3,flegrei,earthquake,Bollettino
21850,2013-01-31 23:23:20.67,40.831501,14.15067,1.7,D,-0.5,0.3,flegrei,earthquake,Bollettino
21849,2013-02-04 22:41:33.4,40.831329,14.14717,2.18,D,-0.8,0.3,flegrei,earthquake,Bollettino
21848,2013-02-07 00:14:26.27,40.821671,14.14017,2.93,D,-0.3,0.3,flegrei,earthquake,Bollettino
21847,2013-02-15 10:11:29.25,40.820671,14.1455,0.91,D,-0.8,0.3,flegrei,earthquake,Bollettino
21844,2013-03-30 10:21:35.14,40.825161,14.14017,3.97,D,-0.8,0.3,flegrei,earthquake,Bollettino
21843,2013-04-03 02:09:36.48,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
21842,2013-04-03 02:09:50.87,40.831501,14.13883,1.72,D,-0.3,0.3,flegrei,earthquake,Bollettino
21841,2013-04-04 15:43:20.43,,,,,,,flegrei,earthquake,Bollettino
21840,2013-04-05 21:55:34.75,40.824001,14.14117,2.0,D,-0.8,0.3,flegrei,earthquake,Bollettino
21839,2013-04-05 21:55:45.13,,,,D,-0.1,0.3,flegrei,earthquake,Bollettino
21838,2013-04-09 03:55:18.27,40.82233,14.14017,1.78,D,-0.3,0.3,flegrei,earthquake,Bollettino
21837,2013-05-12 02:41:48.07,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
21836,2013-05-12 02:41:59.5,40.831329,14.15,1.9,D,-0.5,0.3,flegrei,earthquake,Bollettino
21835,2013-05-12 02:42:06.91,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
21834,2013-05-12 02:48:36.32,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
21833,2013-05-12 02:49:02.88,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
21832,2013-05-12 02:49:14.04,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
21831,2013-05-12 02:49:40.24,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
21830,2013-05-12 02:49:53.35,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
21829,2013-05-12 02:50:08.94,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
21828,2013-05-12 02:50:38.4,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
21827,2013-05-12 02:50:53.48,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
21826,2013-05-12 02:51:11.02,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
21825,2013-05-12 02:51:23.01,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
21824,2013-05-12 02:51:48.92,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
21823,2013-05-12 02:52:15.08,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
21822,2013-05-12 02:52:30.46,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
21821,2013-05-12 02:53:33.68,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
21810,2013-12-22 00:28:35.32,,,,D,0.9,0.3,flegrei,earthquake,Bollettino
